id,role,resource_type,resource_key,granted,created_at
90f06096-e60e-4e59-b131-c3971a8f1614,development_director,module,meetings,t,2026-05-06 16:38:11.509346+00
b7189bc2-6aa6-4575-8063-848ef715eb41,development_director,module,knowledge,t,2026-05-06 16:38:11.509346+00
2e0a14a9-4194-4e18-a891-1aee03790432,development_director,module,actions,t,2026-05-06 16:38:11.509346+00
285b384c-bad2-4977-943a-93efa316e2c6,development_director,module,ai-agents,t,2026-05-06 16:38:11.509346+00
e88c4f29-36a7-4d2e-a525-721f43d73079,development_director,module,ai-chat,t,2026-05-06 16:38:11.509346+00
603b62a4-88f8-4413-8390-b66abc9a03c7,development_director,module,events,t,2026-05-06 16:38:11.509346+00
d6fe94e6-97f3-4a60-b143-015c8b8e7b3c,development_director,module,grants,t,2026-05-06 16:38:11.509346+00
b664f447-d1b3-4753-8a55-be5c28da13e3,development_director,module,donor-pipeline,t,2026-05-06 16:38:11.509346+00
b09dc4b4-8993-4404-b052-0b2ead1485f5,development_director,agent,quick-email,t,2026-05-06 16:38:11.509346+00
16e6e31f-02ed-4da1-bf93-95f322b1ad01,development_director,agent,deal-ai-chat,t,2026-05-06 16:38:11.509346+00
b369ed77-c533-445e-b3d7-d53aa6bfde8e,development_director,agent,upgrade-spotter,t,2026-05-06 16:38:11.509346+00
ed139c93-a8c5-4b5e-a679-e3884783bc11,development_director,agent,event-converter,t,2026-05-06 16:38:11.509346+00
7a335f49-8512-4b56-a541-ca349f97af26,development_director,agent,meeting-summarizer,t,2026-05-06 16:38:11.509346+00
2f176557-573d-4cb3-a5b4-66e0296dc977,development_director,agent,action-extractor,t,2026-05-06 16:38:11.509346+00
eab59141-6d3f-4fe5-bb95-dedb097830dd,development_director,agent,client-call-analyzer,t,2026-05-06 16:38:11.509346+00
087c38c0-18d4-49c6-b3a3-e77fd6fb6a7b,development_director,agent,event-intelligence,t,2026-05-06 16:38:11.509346+00
a2c8907b-99b5-45a1-ad96-60458a0c3f60,development_director,agent,grant-compliance,t,2026-05-06 16:38:11.509346+00
006e561b-73b3-4f3b-90ef-904695eef5ed,finance_manager,module,reconciliation,t,2026-05-06 16:38:11.509346+00
1480c16a-50a6-44ec-bf0d-fe473db9e330,finance_manager,module,meetings,t,2026-05-06 16:38:11.509346+00
f1790f96-f0fd-453e-ab85-facceffc8f31,finance_manager,module,knowledge,t,2026-05-06 16:38:11.509346+00
3a9ee2b1-5c6e-4fb2-9b62-0475946627ca,finance_manager,module,actions,t,2026-05-06 16:38:11.509346+00
14a3c6dd-527e-4dad-9684-ea57e8ef8bb7,finance_manager,module,ai-agents,t,2026-05-06 16:38:11.509346+00
0313fa25-81d5-4505-92ad-6bfdaa2a416d,finance_manager,module,ai-chat,t,2026-05-06 16:38:11.509346+00
9fa7e934-6697-4faf-bc9e-fe0e1d0bbbcc,finance_manager,module,grants,t,2026-05-06 16:38:11.509346+00
4fb2fdde-6e64-4789-99af-f7c2d5c808aa,finance_manager,agent,reconciliation-fund-accounting,t,2026-05-06 16:38:11.509346+00
8817efe9-8912-4911-a5df-7c54a66b19d4,finance_manager,agent,meeting-summarizer,t,2026-05-06 16:38:11.509346+00
8b4a7054-329a-4f7c-bf96-f14faa06334a,finance_manager,agent,action-extractor,t,2026-05-06 16:38:11.509346+00
f8427dea-f6fc-4124-9c77-72f165c50b7c,finance_manager,agent,grant-budget-watcher,t,2026-05-06 16:38:11.509346+00
833bcda3-f679-4d1c-a11d-174b5e1f51c8,finance_manager,agent,grant-compliance,t,2026-05-06 16:38:11.509346+00
c2611b22-f9da-4c29-89ad-441987c54f6e,operations_manager,module,data-health,t,2026-05-06 16:38:11.509346+00
11400cc7-b1cb-47f0-8773-52001556d450,operations_manager,module,projects,t,2026-05-06 16:38:11.509346+00
e968ec25-54e0-4a83-bf97-d83301d401fe,operations_manager,module,meetings,t,2026-05-06 16:38:11.509346+00
0087a399-16df-4226-aab8-a185dfc47bf3,operations_manager,module,knowledge,t,2026-05-06 16:38:11.509346+00
60dba345-3fda-42d2-bf55-f2076503eb4e,operations_manager,module,actions,t,2026-05-06 16:38:11.509346+00
005103ce-16d9-4b2f-9079-28f0d6561c5b,operations_manager,module,ai-agents,t,2026-05-06 16:38:11.509346+00
b2b69bc0-442f-4656-a3a8-37877f6c5828,operations_manager,module,ai-chat,t,2026-05-06 16:38:11.509346+00
6eba425d-3ae3-4404-b0ca-7fe1f952f79c,operations_manager,agent,crm-data-integrity,t,2026-05-06 16:38:11.509346+00
83ab0904-291b-44e9-9237-57f280b4320d,operations_manager,agent,project-analyst,t,2026-05-06 16:38:11.509346+00
50166d43-9058-473e-958e-5478bf9c7985,operations_manager,agent,bug-feature-planner,t,2026-05-06 16:38:11.509346+00
28836710-69c2-4fe5-90a0-f1bf905342be,operations_manager,agent,technical-planner,t,2026-05-06 16:38:11.509346+00
92fe8d10-3182-4440-87df-d8e7dfa30190,operations_manager,agent,meeting-summarizer,t,2026-05-06 16:38:11.509346+00
6096ac90-e504-4513-be1d-742e98dd12cc,operations_manager,agent,action-extractor,t,2026-05-06 16:38:11.509346+00
5acd282f-84b5-4f6b-b98c-3fd055e77ecb,operations_manager,agent,efficiency-analyzer,t,2026-05-06 16:38:11.509346+00
a957e5c4-c27b-45aa-b82e-50c4ce0c8d7c,operations_manager,agent,pod-health,t,2026-05-06 16:38:11.509346+00
24f4313c-0edf-4226-b544-1485e7371421,operations_manager,agent,integration-health-monitor,t,2026-05-06 16:38:11.509346+00
32966f55-a789-469f-a30d-408bea542334,operations_manager,agent,onboarding-checklist-ai,t,2026-05-06 16:38:11.509346+00
78970290-f055-45ba-9ca2-2da52f957105,executive_director,module,donor-retention,t,2026-05-06 17:31:02.345298+00
c4cf6791-4f78-491f-90a5-58083c47ffd0,executive_director,module,programs,t,2026-05-06 17:31:02.345298+00
26ff9ba6-cc0f-4a70-9b23-22eb7e88c62e,executive_director,module,communications,t,2026-05-06 17:31:02.345298+00
2e9d7478-5907-4977-86bb-53e6ec1657a1,executive_director,module,agent-activity,t,2026-05-06 17:31:02.345298+00
7f7c36df-f24d-42a4-b4cf-e213f2479a55,development_director,module,donor-retention,t,2026-05-06 17:31:02.345298+00
90dfed24-96bd-4120-90fa-a33206cee7bc,development_director,module,communications,t,2026-05-06 17:31:02.345298+00
3dd98b28-516a-49b6-8c4a-ff9c542156e3,development_director,module,programs,t,2026-05-06 17:31:02.345298+00
52796ae1-337e-4a6c-ad8d-54ad847b8ac5,finance_manager,module,programs,t,2026-05-06 17:31:02.345298+00
5ac237f2-771f-4af3-ac6f-f0749560afe4,operations_manager,module,agent-activity,t,2026-05-06 17:31:02.345298+00
3bccd2a1-be37-443a-b6d2-27bc2e4498ef,operations_manager,module,programs,t,2026-05-06 17:31:02.345298+00
c39d223c-cf76-490c-a336-f763fee96916,operations_manager,module,communications,t,2026-05-06 17:31:02.345298+00
