id,volunteer_id,event_name,date,hours,status,created_at,updated_at
12a7f818-d041-4d5d-834a-639d323cf872,136376f8-638a-4135-89f8-85d6d2df6dbd,Community Health Fair,2026-05-25,8,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
5854cb7a-78b6-48ca-8dbf-d74a9555924d,136376f8-638a-4135-89f8-85d6d2df6dbd,Health Screening Drive,2026-07-15,6,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
b2ac79d2-3d60-48ff-8e05-e0151df63d57,7d3cbdc3-ae45-451e-86c5-bb70ef964beb,Monthly Community Dinner,2026-05-16,3,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
7eb9c8d3-17b1-4f24-8b89-c5418a411c0e,7d3cbdc3-ae45-451e-86c5-bb70ef964beb,Monthly Community Dinner,2026-06-27,3,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
3e44225c-dc0b-4cf7-89f3-0316facf7ec6,839142b6-25db-492b-8fde-0550dda637ef,Board Orientation Breakfast,2026-05-25,4,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
691f0cd0-3ce1-49f5-8585-be6c491c71a3,839142b6-25db-492b-8fde-0550dda637ef,Community Dinner,2026-06-27,3,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
dfd7ca8c-f370-4350-8dc8-628e7a3a43e4,3f86f7e3-7b44-4924-8956-b1fe553f1125,Volunteer Orientation,2026-06-01,2,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
76ee65a5-3d3e-47db-84b9-af97a20c4e35,3f86f7e3-7b44-4924-8956-b1fe553f1125,Summer Leadership Summit,2026-07-30,4,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
a0249466-a49f-46a6-8758-df9b7f0f76f4,34e1d7b6-a602-4474-8c51-da205c1e544d,Youth Mentorship Session,2026-06-08,2,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
d9aba5ff-862e-4da3-810d-9d4659157f97,34e1d7b6-a602-4474-8c51-da205c1e544d,Youth Mentorship Session,2026-06-22,2,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
00f3eda4-9d34-4e4b-8122-d432d3da10d7,860e7db7-163e-4dad-8fcc-f0d51f11c740,Spring Gala,2026-06-10,8,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
6a3f1eba-1abb-4596-8636-ad49aa77789a,860e7db7-163e-4dad-8fcc-f0d51f11c740,Community Dinner,2026-06-27,3,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
ee3787d1-3039-4253-8a4b-f8f661fd75d7,48f965a9-9ac2-4827-8fef-2c898dcd1001,Community Health Fair,2026-05-25,6,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
5181c4f2-bfe2-4bbd-8bc7-c8842742645e,48f965a9-9ac2-4827-8fef-2c898dcd1001,Health Screening Drive,2026-07-15,6,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
d55f2e99-b0dd-4e95-884c-d460c5e42c00,08930422-421a-4b64-8e11-61b7dfda4ceb,Phone Banking Session,2026-06-05,3,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
2242033d-97cd-4d9e-860f-cade0ed69eb4,08930422-421a-4b64-8e11-61b7dfda4ceb,Annual Fund Drive,2026-07-05,3,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
4d5358bf-8145-45da-8614-b98d19fdc12a,04dbeb0e-00b8-497f-8040-d3171d144a8d,Community Dinner,2026-05-16,3,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
ab510d75-0a6f-4b7e-835e-0cf57c3c4a31,04dbeb0e-00b8-497f-8040-d3171d144a8d,Community Dinner,2026-06-27,3,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
d039170d-a76c-4f29-8c26-85d3046e513f,3b9ef0a9-c7ec-41bd-8afc-0d61deaf9272,Spring Gala,2026-06-10,10,Completed,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
969d18e6-019b-47b4-8a34-09d7ffe45e8e,3b9ef0a9-c7ec-41bd-8afc-0d61deaf9272,Summer Leadership Summit,2026-07-30,8,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
be25a357-ed80-4b9b-89de-1aa772031402,21609218-a3b9-48d3-8fd4-e2641234b1df,Youth Mentorship Session,2026-06-08,2,Cancelled,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
980d8d28-bc53-41f4-8357-f2953808ecc8,21609218-a3b9-48d3-8fd4-e2641234b1df,Youth Mentorship Session,2026-06-22,2,Upcoming,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
