id,event_id,time,title,speaker_name,display_order,created_at
67ec8eb9-95fd-4f3f-9bc7-7bc064c2af0a,155e77c9-3d51-4e1f-bbc8-463fd68c4230,10:15 AM,Career Panel: Health & Medicine,Dr. Samuel Adeyemi,3,2026-05-24 21:02:42.495869+00
f0c7eb9a-3b15-4a02-bbe3-ebcf35545573,155e77c9-3d51-4e1f-bbc8-463fd68c4230,11:00 AM,Breakout Workshops,,4,2026-05-24 21:02:42.495869+00
986e7e2d-19ba-40c1-8cb5-e1d9cd5c602f,155e77c9-3d51-4e1f-bbc8-463fd68c4230,12:00 PM,Networking Lunch,,5,2026-05-24 21:02:42.495869+00
211e1a01-7f3b-4b7a-bb37-8a331633da1f,155e77c9-3d51-4e1f-bbc8-463fd68c4230,1:00 PM,College Application Q&A,,6,2026-05-24 21:02:42.495869+00
bdf6ee5a-17db-4894-bed8-52eaa23b751b,155e77c9-3d51-4e1f-bbc8-463fd68c4230,2:00 PM,Closing Remarks & Next Steps,,7,2026-05-24 21:02:42.495869+00
3effa606-23e4-449f-8d2e-66c66f1368cd,10084594-789d-4d15-89e9-a39949dcc0c7,8:30 AM,Registration & Breakfast Networking,,0,2026-06-15 17:02:18.692737+00
4d3af7f1-3f99-4f58-83b3-388e4c892c2c,10084594-789d-4d15-89e9-a39949dcc0c7,9:15 AM,Opening Keynote: The State of Community,Mayor Gloria Chen,1,2026-06-15 17:02:18.692737+00
60563d38-1404-4367-8282-02706b65c326,10084594-789d-4d15-89e9-a39949dcc0c7,10:30 AM,Workshop Block A — Choose from 4 sessions,,2,2026-06-15 17:02:18.692737+00
9cdd41ae-d117-4a92-8f5e-814fed12a16a,10084594-789d-4d15-89e9-a39949dcc0c7,12:00 PM,Lunch & Sponsor Recognition,,3,2026-06-15 17:02:18.692737+00
82be25e7-7d15-459c-8774-2cdcf3eeef87,10084594-789d-4d15-89e9-a39949dcc0c7,1:30 PM,Panel: Funding the Future,Dr. Alicia Ramos,4,2026-06-15 17:02:18.692737+00
b2747507-a162-4815-8bd2-9a9fa6a15cf3,10084594-789d-4d15-89e9-a39949dcc0c7,3:00 PM,Workshop Block B — Choose from 3 sessions,,5,2026-06-15 17:02:18.692737+00
f33e6a59-f940-41c3-8cbd-e786a388b1f0,10084594-789d-4d15-89e9-a39949dcc0c7,4:30 PM,Closing Remarks & Next Steps,Robert Kim,6,2026-06-15 17:02:18.692737+00
27e9fc20-c101-47d4-8763-38ed73c18509,10084594-789d-4d15-89e9-a39949dcc0c7,5:00 PM,Networking Reception,,7,2026-06-15 17:02:18.692737+00
34ce4f68-b696-412b-8905-9d117ca604d3,51299673-f35b-43a3-8dd1-955ab7af82ff,6:00 PM,Doors Open & Social Time,,0,2026-06-15 17:02:18.692737+00
8ef90ad5-0b37-48cd-8019-2b5cfde7f09e,51299673-f35b-43a3-8dd1-955ab7af82ff,6:30 PM,Welcome & Program Updates,,1,2026-06-15 17:02:18.692737+00
8a7d23a2-f0fc-4a39-8d55-2f8d1aac7f58,51299673-f35b-43a3-8dd1-955ab7af82ff,6:45 PM,Community Dinner,,2,2026-06-15 17:02:18.692737+00
9abc3b9f-abc7-4ca9-8465-2e504e598fa2,51299673-f35b-43a3-8dd1-955ab7af82ff,7:30 PM,Open Mic — Community Stories,,3,2026-06-15 17:02:18.692737+00
12980462-5fbf-4181-8a4c-4cc4113233a6,51299673-f35b-43a3-8dd1-955ab7af82ff,8:00 PM,Closing,,4,2026-06-15 17:02:18.692737+00
1290ca7c-3cf6-43db-8a1e-c46547011f5f,886a4c37-21b9-4140-8820-eeb8221ac9e8,9:00 AM,Setup & Volunteer Briefing,,0,2026-06-15 17:02:18.692737+00
0261763d-1dec-4c5e-84a6-730fdd9f076a,886a4c37-21b9-4140-8820-eeb8221ac9e8,10:00 AM,Doors Open — Health Screenings Begin,,1,2026-06-15 17:02:18.692737+00
812646f4-9235-4d93-82dd-2b1f37556b35,886a4c37-21b9-4140-8820-eeb8221ac9e8,11:00 AM,Wellness Workshop: Nutrition Basics,Dr. Alicia Ramos,2,2026-06-15 17:02:18.692737+00
2a2352ba-7423-4a1e-8bcf-ddee43b16ab5,886a4c37-21b9-4140-8820-eeb8221ac9e8,1:00 PM,Kids Health Activity Zone Opens,,3,2026-06-15 17:02:18.692737+00
0bab0409-4a90-4e17-8749-81e641490253,886a4c37-21b9-4140-8820-eeb8221ac9e8,3:00 PM,Resource Fair & Community Partners,,4,2026-06-15 17:02:18.692737+00
197d5c38-64c5-406e-881e-a59fe459b049,886a4c37-21b9-4140-8820-eeb8221ac9e8,5:00 PM,Wrap-Up & Volunteer Thank You,,5,2026-06-15 17:02:18.692737+00
a77137e6-af33-4b6e-8581-9cf5803f6baa,468e3db5-3070-4ea4-8347-5666a1a7d1f0,6:00 PM,VIP Reception & Silent Auction Opens,,0,2026-06-15 17:02:18.692737+00
5c7fad0d-1a69-4b85-81dd-fab449cebd31,468e3db5-3070-4ea4-8347-5666a1a7d1f0,7:00 PM,Doors Open — Cocktail Hour,,1,2026-06-15 17:02:18.692737+00
be5d4191-4730-4adc-8ca4-f8040b1d4047,468e3db5-3070-4ea4-8347-5666a1a7d1f0,7:30 PM,Welcome & Mission Moment,Patricia Lee,2,2026-06-15 17:02:18.692737+00
02d66f69-18b1-439b-804e-09ac7f943ba5,468e3db5-3070-4ea4-8347-5666a1a7d1f0,8:00 PM,Dinner Service,,3,2026-06-15 17:02:18.692737+00
c75b79c4-f426-4afa-8ba4-0e69f45fd824,468e3db5-3070-4ea4-8347-5666a1a7d1f0,8:45 PM,Impact Video & Fund-a-Need,,4,2026-06-15 17:02:18.692737+00
f7b467e3-69af-40e9-869c-7d1ab174e453,468e3db5-3070-4ea4-8347-5666a1a7d1f0,9:15 PM,Live Auction,,5,2026-06-15 17:02:18.692737+00
17ff6f68-3133-4266-8d6d-50fad6c9748e,468e3db5-3070-4ea4-8347-5666a1a7d1f0,10:00 PM,Dancing & Networking,,6,2026-06-15 17:02:18.692737+00
b7c2684d-f36d-47f5-88ed-d3e0f3760f59,ecfbc23f-19d5-4958-84fa-2b66afad41e3,8:00 AM,Breakfast & Introductions,,0,2026-06-15 17:02:18.692737+00
ff8ff255-911b-4dd3-8d63-4d57dce5c543,ecfbc23f-19d5-4958-84fa-2b66afad41e3,8:30 AM,Governance Overview,Patricia Lee,1,2026-06-15 17:02:18.692737+00
06157491-c487-4d2a-8c1c-2341d1c06723,ecfbc23f-19d5-4958-84fa-2b66afad41e3,9:30 AM,Strategic Plan Review,,2,2026-06-15 17:02:18.692737+00
3c0fba80-c87a-452d-8e51-85763985cb64,ecfbc23f-19d5-4958-84fa-2b66afad41e3,10:30 AM,Committee Assignments & Q&A,,3,2026-06-15 17:02:18.692737+00
e0c593e5-b538-4349-8bea-75f56333e4d8,ecfbc23f-19d5-4958-84fa-2b66afad41e3,11:00 AM,Adjourn,,4,2026-06-15 17:02:18.692737+00
